代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(77),1513419.5000000000,1414151.3200000001,1390475.0299999998,1364822.3999999999,1376710.9100000001,1448568.5000000000,1384292.0000000002,1408937.4500000000,11301377.1100000013,
FS(78),1530515.6000000001,1422271.8800000001,1387550.8100000001,1372129.2800000000,1370664.2600000000,1446232.3999999999,1391890.1000000001,1406438.8699999999,11327693.2000000011,
FS(79),1559299.8499999999,1433292.6400000001,1381589.8999999999,1394049.9200000002,1375501.5800000001,1456044.0200000000,1397897.9000000001,1406994.1099999999,11404669.9199999999,
FS(80),1555113.0500000000,1439673.0800000001,1377990.8599999999,1402922.5600000001,1361258.3599999999,1455576.7999999998,1388532.8000000000,1402829.8100000001,11383897.3199999984,
FS(81),1583548.3999999999,1431552.5200000000,1375741.4600000000,1407097.9200000002,1361795.8400000001,1465544.1599999999,1402492.1000000003,1405744.8199999998,11433517.2200000007,
FS(82),1577617.1000000001,1428072.2800000000,1381027.5500000000,1425887.0400000000,1363005.1700000002,1455421.0600000001,1407086.3000000000,1395472.8799999999,11433589.3800000008,
FS(83),1566801.2000000000,1437352.9200000002,1374504.2899999998,1422755.5200000003,1371067.3700000001,1459470.2999999998,1404259.1000000001,1387283.0899999999,11423493.7900000010,
FS(84),1588956.3499999999,1431552.5200000000,1378328.2699999998,1443632.3200000001,1363273.9100000001,1454798.0999999999,1411503.8000000000,1393529.5400000000,11465574.8100000005,
FS(85),1607099.1500000001,1421111.8000000000,1376078.8699999999,1440500.8000000003,1376576.5400000000,1474421.3400000001,1422635.9000000004,1388671.1899999999,11507095.5899999999,
FS(86),1613379.3500000001,1432712.6000000001,1389237.8599999999,1443632.3200000001,1376710.9100000001,1479093.5400000000,1410090.2000000002,1395750.5000000000,11540607.2800000012,
FS(87),1608843.6499999999,1440253.1199999999,1396773.3499999999,1470250.2400000002,1370126.7800000000,1469593.3999999999,1412387.3000000003,1410325.5499999998,11578553.3899999987,
FS(88),1634662.2500000000,1438513.0000000000,1398797.8100000001,1456680.3200000001,1362333.3199999998,1474265.5999999999,1409383.4000000004,1409215.0699999998,11583850.7699999977,
FS(89),1644257.0000000000,1450113.8000000000,1409707.3999999999,1473903.6799999999,1355614.8199999998,1481118.1599999999,1410266.9000000001,1408382.2100000000,11633363.9699999988,
FS(90),1637453.4500000000,1452433.9600000000,1407907.8799999999,1457724.1600000001,1349433.8000000000,1478003.3600000001,1416628.1000000003,1415183.8999999999,11614768.6099999994,
FS(91),1610064.8000000000,1430392.4399999999,1418367.5899999999,1459289.9200000002,1340565.3800000001,1479560.7600000000,1403729.0000000002,1411158.4099999999,11553128.3000000007,
FS(92),1592445.3500000001,1432712.6000000001,1431301.6399999999,1558976.6400000001,1350374.3899999999,1485946.0999999999,1399134.8000000003,1424900.6000000001,11675792.1200000010,
FS(93),1608494.7500000000,1422851.9200000002,1445697.7999999998,1566283.5200000003,1358570.9600000000,1486724.7999999998,1378284.2000000002,1428648.4700000000,11695556.4199999999,
FS(94),1606401.3499999999,1421111.8000000000,1448959.4300000002,1563152.0000000000,1360855.2500000000,1482987.0400000000,1381288.1000000003,1421707.9700000000,11686462.9399999995,
