代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(82),1826133.8799999999,1598038.9900000000,1701078.3400000001,1654883.8000000000,1602972.5200000000,1511329.4399999997,1478136.8800000001,11372576.8499999996,
FS(83),1841171.3199999998,1603749.7899999998,1699846.3899999999,1656471.9600000000,1605020.8599999999,1516351.7199999997,1492616.8000000000,11415231.8399999980,
FS(84),1856039.7999999998,1607319.0399999998,1690976.3499999999,1657266.0400000000,1599168.4600000000,1512857.9600000000,1490389.1199999999,11414019.7699999996,
FS(85),1883749.2399999998,1605463.0300000000,1695411.3700000001,1657464.5600000001,1596827.5000000000,1499319.6399999999,1501156.2400000000,11439394.5799999982,
FS(86),1901067.6399999999,1597896.2200000000,1688758.8400000001,1655876.3999999999,1602094.6599999999,1480540.6799999999,1494658.8400000001,11420896.2800000012,
FS(87),1923032.4399999999,1599323.9199999999,1689990.7900000000,1646744.4800000002,1590975.0999999999,1497136.0400000000,1488347.0800000001,11435552.8500000015,
FS(88),1929199.4800000000,1582619.8299999998,1674221.8300000001,1641781.4800000002,1556445.9399999999,1476610.2000000000,1490574.7600000000,11351456.5200000014,
FS(89),1916611.9600000000,1568628.3699999999,1690729.9600000002,1653494.1600000001,1574881.0000000000,1490148.5199999998,1510438.2400000000,11404935.2099999990,
FS(90),1884763.0000000000,1574196.3999999999,1709455.5999999999,1640788.8800000001,1588634.1399999999,1485562.9600000000,1493730.6399999999,11377134.6199999992,
FS(91),1869556.6000000001,1584333.0699999998,1716600.9100000001,1626098.3999999999,1580148.1599999999,1489056.7199999997,1519163.3199999998,11384960.1799999997,
FS(92),1844466.0400000000,1580192.7400000000,1713890.6200000001,1635428.8400000001,1583659.5999999999,1502376.6799999999,1516935.6399999999,11376953.1599999983,
FS(93),1891099.0000000000,1564773.5799999998,1702063.8999999999,1628083.6000000001,1601216.7999999998,1501066.5199999998,1538284.2400000000,11426590.6399999987,
FS(94),1867613.5599999998,1562774.7999999998,1721282.3200000001,1649920.8000000000,1608532.2999999998,1536877.5599999998,1543296.5199999998,11490300.8599999994,
FS(95),1912725.8799999999,1580049.9700000000,1745182.1499999999,1656670.4800000002,1607654.4399999999,1539061.1599999999,1528259.6799999999,11569606.7599999998,
FS(96),1891014.5200000000,1559919.3999999999,1724239.0000000002,1659846.8000000000,1596242.2599999998,1534693.9600000000,1539398.0800000001,11505357.0200000014,
FS(97),1840664.4399999999,1561347.0999999999,1735080.1600000001,1672552.0800000001,1600631.5600000001,1538406.0799999998,1548494.4399999999,11497178.8599999994,
FS(98),1843705.7200000000,1563774.1899999999,1735080.1600000001,1667589.0800000001,1591560.3399999999,1547795.5599999998,1552578.5199999998,11502086.5700000003,
FS(99),1844803.9600000000,1567486.2100000000,1724239.0000000002,1667589.0800000001,1565517.1599999999,1556529.9600000000,1571142.5199999998,11497310.8900000006,
FS(100),1858827.6399999999,1593613.1199999999,1743950.2000000000,1694587.8000000000,1578685.0600000001,1591685.9199999999,1574669.6799999999,11636022.4199999999,
FS(101),1838805.8799999999,1576195.1799999999,1751834.6799999999,1703719.7200000000,1592438.2000000000,1594087.8799999999,1581167.0800000001,11638251.6200000010,
FS(102),1865248.1199999999,1610031.6699999999,1743950.2000000000,1672949.1200000001,1566687.6399999999,1576619.0799999998,1607713.5999999999,11643202.4299999997,
FS(103),1877075.3199999998,1622309.8899999999,1740747.1300000001,1650119.3200000001,1552349.2599999998,1576837.4399999997,1605857.2000000000,11625298.5600000005,
FS(104),1862122.3599999999,1644867.5499999998,1732862.6499999999,1652898.6000000001,1554982.8399999999,1593214.4399999997,1592491.1199999999,11633442.5600000005,
FS(105),1900391.7999999998,1656717.4600000000,1742471.8600000001,1644957.8000000000,1568150.7400000000,1611775.0400000000,1592305.4800000000,11716773.1799999997,
FS(106),1907065.7200000000,1669566.7599999998,1747892.4399999999,1652303.0400000000,1562298.3399999999,1591904.2800000000,1578382.4800000000,11709416.0599999987,
FS(107),1919906.6799999999,1659572.8599999999,1762429.4500000000,1661037.9200000002,1575466.2400000000,1582296.4399999997,1593048.0400000000,11753760.6300000008,
FS(108),1936971.6399999999,1679846.2000000000,1767850.0300000000,1674735.8000000000,1592438.2000000000,1604787.5199999998,1605114.6399999999,11861747.0299999993,
