代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14037655.5199999996
真實報酬,4037655.5199999996
趨勢值,0.1382839497

選擇檔數,8
找到最佳解世代,1887
找到最佳解實驗,1
Stock#,AAPL,BA,DD,KO,MCD,MMM,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10761,7963,15238,29904,10449,7020,7742,15723,
剩餘資金,109.8499999999,47.8900000000,26.8600000000,12.8000000001,90.6200000000,88.9999999999,54.1000000001,21.5000000000,
FS(127),1550662.3399999999,1607060.9199999999,1376323.0199999998,1340310.0800000001,1599519.0499999998,1472604.2000000000,1457485.6000000001,1478140.7300000000,11882105.9399999995,
FS(128),1536027.3799999997,1604433.1299999999,1379370.6199999999,1327750.3999999999,1599728.0300000000,1460389.4000000001,1447343.5800000001,1466191.2500000000,11821233.7899999991,
FS(129),1551630.8299999998,1611520.2000000000,1386532.4799999997,1327451.3600000001,1632955.8500000001,1471410.8000000000,1455240.4200000002,1476725.6599999999,11913467.5999999996,
FS(130),1561100.5099999998,1624181.3699999999,1400094.2999999998,1327152.3200000001,1625119.1000000001,1477728.8000000000,1447421.0000000000,1495121.5700000001,11957918.9700000007,
FS(131),1566158.1799999999,1642575.8999999999,1400856.2000000000,1325657.1200000001,1618745.2099999997,1471902.2000000000,1439679.0000000000,1500152.9299999999,11965726.7400000002,
FS(132),1568417.9900000000,1643929.6099999999,1438341.6799999999,1331039.8400000001,1636195.0400000000,1483415.0000000000,1445408.0800000001,1512259.6400000001,12059006.8800000008,
FS(133),1590262.8200000001,1642257.3799999999,1423713.2000000000,1328647.5200000000,1620103.5799999998,1481940.8000000000,1436040.2600000000,1508486.1199999999,12031451.6799999978,
FS(134),1603929.2899999998,1660413.0199999998,1437427.3999999999,1336123.5200000000,1622611.3399999999,1486714.4000000001,1447033.9000000001,1524051.8900000001,12118304.7599999998,
FS(135),1609525.0099999998,1664314.8899999999,1434836.9399999997,1337618.7200000000,1622402.3599999999,1486082.6000000001,1442775.8000000000,1522479.5900000001,12120035.9099999983,
FS(136),1615120.7300000000,1658263.0100000000,1426760.7999999998,1335824.4800000000,1608818.6599999999,1483485.2000000000,1446646.8000000000,1534271.8400000001,12109191.5199999977,
FS(137),1625236.0700000001,1679285.3299999998,1449008.2800000000,1340609.1200000001,1608087.2299999997,1489031.0000000000,1464763.0800000001,1544806.2500000000,12200826.3599999994,
FS(138),1617918.5899999999,1674507.5299999998,1440779.7599999998,1340310.0800000001,1611430.9099999999,1491488.0000000000,1482647.1000000001,1542605.0300000000,12201686.9999999981,
FS(139),1617165.3200000001,1689318.7099999997,1435294.0799999998,1346589.9200000002,1608400.6999999997,1482432.2000000000,1484814.8600000001,1566032.2999999998,12230048.0899999999,
FS(140),1636750.3399999999,1689637.2300000000,1436970.2599999998,1340908.1600000001,1586771.2699999998,1474289.0000000000,1477924.4800000000,1578139.0100000000,12221389.7500000019,
FS(141),1643744.9900000000,1691866.8699999999,1450684.4600000000,1352869.7600000000,1662213.0499999998,1399806.7999999998,1474130.9000000001,1572164.2700000000,12247481.0999999996,
FS(142),1651492.9099999999,1859010.2399999998,1441389.2800000000,1367821.7600000000,1635463.6099999999,1397279.6000000001,1476840.6000000001,1585686.0499999998,12414984.0500000007,
FS(143),1620286.0099999998,1919130.8899999999,1434379.7999999998,1379185.2800000000,1640061.1699999997,1404440.0000000000,1462750.1600000001,1565560.6099999999,12425793.9199999981,
FS(144),1608879.3499999999,1921280.8999999999,1425237.0000000000,1375895.8400000001,1628567.2699999998,1402123.3999999999,1479937.4000000001,1558956.9500000002,12400878.1099999994,
